t,id,costs,returns,profit,hlb_severity,strategy_names, strategy_params, experiment_id
4,g12,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
4,g20,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
4,g21,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
4,g22,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g01,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g02,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g10,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g11,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g12,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g20,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g21,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
5,g22,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g01,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g02,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g10,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g11,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g12,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g20,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g21,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
6,g22,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g01,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g02,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g10,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g11,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g12,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g20,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g21,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
7,g22,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g01,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g02,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g10,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g11,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g12,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g20,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g21,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
8,g22,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
9,g00,0.000000,0.000000,0.000000,0.000000,RogueTrees,30;40;3;0;0.1,-1,0
